Number,Date&Time,ms,CH1,CH2,CH3
NO.,Time,ms,degC,degC,degC
127,22/01/2021 11:09,0,21.6,21.1,22
128,22/01/2021 11:09,500,21.6,21.2,22
129,22/01/2021 11:09,0,21.6,21.2,22
130,22/01/2021 11:09,500,21.6,21.2,22
131,22/01/2021 11:09,0,21.6,21.1,22
132,22/01/2021 11:09,500,21.6,21.1,22
133,22/01/2021 11:09,0,21.6,21.1,22
134,22/01/2021 11:09,500,21.6,21.1,22
135,22/01/2021 11:09,0,21.6,21.1,22
136,22/01/2021 11:09,500,21.7,21.1,22
137,22/01/2021 11:09,0,21.7,21.2,22
138,22/01/2021 11:09,500,21.6,21.2,22
139,22/01/2021 11:09,0,21.6,21.2,22
140,22/01/2021 11:09,500,21.7,21.2,22
141,22/01/2021 11:09,0,21.7,21.2,22.1
142,22/01/2021 11:09,500,21.7,21.2,22.1
143,22/01/2021 11:09,0,21.7,21.2,22.1
144,22/01/2021 11:09,500,21.7,21.2,22.1
145,22/01/2021 11:09,0,21.8,21.2,22.1
146,22/01/2021 11:09,500,21.7,21.2,22.1
147,22/01/2021 11:09,0,21.7,21.2,22
148,22/01/2021 11:09,500,21.6,21.1,22
149,22/01/2021 11:09,0,21.6,21.2,22
150,22/01/2021 11:09,500,21.6,21.2,22
151,22/01/2021 11:09,0,21.7,21.2,22
152,22/01/2021 11:09,500,21.7,21.1,22
153,22/01/2021 11:09,0,21.7,21.2,22
154,22/01/2021 11:09,500,21.7,21.2,22
155,22/01/2021 11:09,0,21.6,21.2,22
156,22/01/2021 11:09,500,21.8,21.2,22
157,22/01/2021 11:09,0,21.7,21.2,22
158,22/01/2021 11:09,500,21.8,21.2,22
159,22/01/2021 11:09,0,21.8,21.2,22
160,22/01/2021 11:09,500,21.8,21.2,22
161,22/01/2021 11:09,0,21.8,21.2,22
162,22/01/2021 11:09,500,21.8,21.2,22
163,22/01/2021 11:09,0,21.8,21.2,22
164,22/01/2021 11:09,500,21.7,21.2,22
165,22/01/2021 11:09,0,21.7,21.1,22
166,22/01/2021 11:09,500,21.7,21.2,22
167,22/01/2021 11:09,0,21.7,21.2,22
168,22/01/2021 11:09,500,21.7,21.1,22
169,22/01/2021 11:09,0,21.7,21.1,22
170,22/01/2021 11:09,500,21.7,21.2,22
171,22/01/2021 11:09,0,21.7,21.1,22
172,22/01/2021 11:09,500,21.7,21.1,22
173,22/01/2021 11:09,0,21.7,21.1,22
174,22/01/2021 11:09,500,21.7,21.1,22
175,22/01/2021 11:09,0,21.7,21.1,22
